seed,gain,coh,n,p_net,p_mod
49,1.0,-0.12,168,0.005952380952380952,0.006610837548993818
49,1.0,-0.09,155,0.03225806451612903,0.023317670856117897
49,1.0,-0.06,183,0.08196721311475409,0.07197454403298142
49,1.0,-0.03,187,0.22459893048128343,0.23843898719484788
49,1.0,0.0,180,0.5055555555555555,0.491913946878386
49,1.0,0.03,186,0.7150537634408602,0.7305317842321135
49,1.0,0.06,177,0.8926553672316384,0.9035039158625306
49,1.0,0.09,163,1.0,0.9788107934322338
49,1.0,0.12,191,1.0,0.9976274340548724
49,1.0,0.15,196,1.0,0.9997758201322561
49,1.2,-0.15,214,0.004672897196261682,0.006017773875262286
49,1.2,-0.12,168,0.023809523809523808,0.02873083453295447
49,1.2,-0.09,155,0.09032258064516129,0.07645288963164283
49,1.2,-0.06,183,0.09289617486338798,0.13791969300800072
49,1.2,-0.03,187,0.32620320855614976,0.29701068281925874
49,1.2,0.0,180,0.5388888888888889,0.5182202456830732
49,1.2,0.03,186,0.6559139784946236,0.6784641216748701
49,1.2,0.06,177,0.8531073446327684,0.8499060190076646
49,1.2,0.09,163,0.9447852760736196,0.9435562384555237
49,1.2,0.12,191,0.9738219895287958,0.982110204017588
49,1.2,0.15,196,1.0,0.9929181490020976
50,0.8,-0.15,214,0.0,0.0008101233427658267
50,0.8,-0.12,168,0.03571428571428571,0.019537599678658084
50,0.8,-0.09,155,0.0064516129032258064,0.03123393443527029
50,0.8,-0.06,183,0.10382513661202186,0.10132288557609267
50,0.8,-0.03,187,0.1925133689839572,0.21462712773714976
50,0.8,0.0,180,0.42777777777777776,0.40060864464009144
50,0.8,0.03,186,0.5752688172043011,0.5892574058596501
50,0.8,0.06,177,0.8135593220338984,0.778864115858792
50,0.8,0.09,163,0.8895705521472392,0.8995010607157465
50,0.8,0.12,191,0.9685863874345549,0.9712580638377315
50,0.8,0.15,196,0.9846938775510204,0.9943488943251525
50,1.0,-0.15,214,0.0,0.00015750401730594922
50,1.0,-0.12,168,0.005952380952380952,0.0031609677182115313
50,1.0,-0.09,155,0.0064516129032258064,0.01044313392826233
50,1.0,-0.06,183,0.04918032786885246,0.041859269210953814
50,1.0,-0.03,187,0.15508021390374332,0.16289586328397865
50,1.0,0.0,180,0.4166666666666667,0.3981611613139415
50,1.0,0.03,186,0.5913978494623656,0.6473389382873774
50,1.0,0.06,177,0.903954802259887,0.8634219095405076
