seed,gain,coh,n,p_net,p_mod
55,0.8,-0.12,168,0.041666666666666664,0.02377248340390922
55,0.8,-0.09,155,0.03225806451612903,0.037694208367982984
55,0.8,-0.06,183,0.1366120218579235,0.125463955098648
55,0.8,-0.03,187,0.2727272727272727,0.25700982438487263
55,0.8,0.0,180,0.4222222222222222,0.46939968440325686
55,0.8,0.03,186,0.6397849462365591,0.6576390501085823
55,0.8,0.06,177,0.864406779661017,0.8455909712445349
55,0.8,0.09,163,0.950920245398773,0.9396047466119296
55,0.8,0.12,191,0.9895287958115183,0.9857223239804841
55,0.8,0.15,196,1.0,0.9985998158350132
55,1.0,-0.15,214,0.0,0.0004297963220774436
55,1.0,-0.12,168,0.005952380952380952,0.005505735067964884
55,1.0,-0.09,155,0.03870967741935484,0.01879863009774624
55,1.0,-0.06,183,0.04371584699453552,0.06242308801279167
55,1.0,-0.03,187,0.20855614973262032,0.21372497987923925
55,1.0,0.0,180,0.46111111111111114,0.45802366085675444
55,1.0,0.03,186,0.7043010752688172,0.6992723135173163
55,1.0,0.06,177,0.8813559322033898,0.8868229508868389
55,1.0,0.09,163,0.9631901840490797,0.9728325804053065
55,1.0,0.12,191,1.0,0.9966230167349366
55,1.0,0.15,196,1.0,0.9997601692366969
55,1.2,-0.15,214,0.0,0.002390665355517497
55,1.2,-0.12,168,0.005952380952380952,0.013727227483351721
55,1.2,-0.09,155,0.04516129032258064,0.0423415018147012
55,1.2,-0.06,183,0.08196721311475409,0.09713428672557094
55,1.2,-0.03,187,0.23529411764705882,0.24379791936094916
55,1.2,0.0,180,0.48333333333333334,0.464934580526339
55,1.2,0.03,186,0.6505376344086021,0.6568866815549875
55,1.2,0.06,177,0.8531073446327684,0.8458908813409304
55,1.2,0.09,163,0.950920245398773,0.9445349103564782
55,1.2,0.12,191,0.9790575916230366,0.9857031606413403
55,1.2,0.15,196,0.9897959183673469,0.9951862566240066
56,0.8,-0.15,214,0.004672897196261682,0.0025824313925437007
56,0.8,-0.12,168,0.005952380952380952,0.038405862015647045
56,0.8,-0.09,155,0.06451612903225806,0.061098217703821886
56,0.8,-0.06,183,0.18032786885245902,0.16881791957637532
