bound,gain,quantile,acoh,correct,n_obs,rt_obs,p_obs,rt_pred,p_pred,n_datasets
2.5,0.8,0.5,0.09,True,5427,273.0,0.978896103896104,237.26000000000005,0.9524101130943251,80
2.5,0.8,0.5,0.12,False,28,185.5,0.0046388336646785,169.85,0.0190005320245843,80
2.5,0.8,0.5,0.12,True,6008,236.0,0.9953611663353216,199.70125000000002,0.9809994679754157,80
2.5,0.8,0.5,0.15,False,11,153.0,0.0017101990049751,139.59312500000001,0.00757410777813676,80
2.5,0.8,0.5,0.15,True,6421,191.0,0.9982898009950248,168.52375,0.9924258922218632,80
2.5,0.8,0.75,0.0,False,812,527.0,0.5062344139650873,479.176875,0.5001533729113098,80
2.5,0.8,0.75,0.0,True,792,523.75,0.4937655860349127,477.6996875000001,0.4998466270886901,80
2.5,0.8,0.75,0.03,False,798,513.75,0.2183908045977011,464.9468750000001,0.265934809669289,80
2.5,0.8,0.75,0.03,True,2856,515.0,0.7816091954022989,471.12062500000013,0.734065190330711,80
2.5,0.8,0.75,0.06,False,298,479.75,0.0669362084456424,424.5243750000001,0.11602712262287358,80
2.5,0.8,0.75,0.06,True,4154,492.0,0.9330637915543576,437.68218750000005,0.8839728773771263,80
2.5,0.8,0.75,0.09,False,117,403.0,0.0211038961038961,359.91437500000006,0.047589886905674894,80
2.5,0.8,0.75,0.09,True,5427,436.0,0.978896103896104,383.6875,0.9524101130943251,80
2.5,0.8,0.75,0.12,False,28,289.75,0.0046388336646785,285.4809375000001,0.0190005320245843,80
2.5,0.8,0.75,0.12,True,6008,375.0,0.9953611663353216,319.46000000000004,0.9809994679754157,80
2.5,0.8,0.75,0.15,False,11,311.0,0.0017101990049751,223.76781250000005,0.00757410777813676,80
2.5,0.8,0.75,0.15,True,6421,301.0,0.9982898009950248,262.1181250000001,0.9924258922218632,80
2.5,1.0,0.25,0.0,False,1521,130.0,0.501318391562294,125.024375,0.5000101887810673,80
2.5,1.0,0.25,0.0,True,1513,140.0,0.498681608437706,124.55437499999998,0.4999898112189326,80
2.5,1.0,0.25,0.03,False,1669,136.0,0.2728907782864617,118.99875000000002,0.295404113278728,80
2.5,1.0,0.25,0.03,True,4447,130.0,0.7271092217135383,122.391875,0.704595886721272,80
2.5,1.0,0.25,0.06,False,839,118.0,0.1308484092326887,106.24343749999998,0.1495123823130687,80
2.5,1.0,0.25,0.06,True,5573,121.0,0.8691515907673113,112.288125,0.8504876176869312,80
2.5,1.0,0.25,0.09,False,367,101.5,0.0537020778460637,92.754375,0.06963955752217887,80
2.5,1.0,0.25,0.09,True,6467,109.0,0.9462979221539362,100.18499999999999,0.9303604424778211,80
2.5,1.0,0.25,0.12,False,144,77.75,0.0212860310421286,80.875625,0.03159986403157876,80
2.5,1.0,0.25,0.12,True,6621,93.0,0.9787139689578714,88.45374999999999,0.9684001359684213,80
2.5,1.0,0.25,0.15,False,62,81.5,0.0090949097843626,70.82562499999999,0.014454421935892376,80
2.5,1.0,0.25,0.15,True,6755,81.0,0.9909050902156372,78.6603125,0.9855455780641076,80
2.5,1.0,0.5,0.0,False,1521,227.0,0.501318391562294,223.14687500000005,0.5000101887810673,80
2.5,1.0,0.5,0.0,True,1513,236.0,0.498681608437706,221.29937500000005,0.4999898112189326,80
2.5,1.0,0.5,0.03,False,1669,232.0,0.2728907782864617,211.28187500000004,0.295404113278728,80
2.5,1.0,0.5,0.03,True,4447,222.0,0.7271092217135383,216.12625000000003,0.704595886721272,80
2.5,1.0,0.5,0.06,False,839,201.0,0.1308484092326887,184.556875,0.1495123823130687,80
2.5,1.0,0.5,0.06,True,5573,211.0,0.8691515907673113,193.325625,0.8504876176869312,80
