bound,gain,quantile,acoh,correct,n_obs,rt_obs,p_obs,rt_pred,p_pred,n_datasets
2.94,1.0,0.25,0.0,False,1032,177.0,0.5007278020378457,167.08875,0.4987681200566768,80
2.94,1.0,0.25,0.0,True,1029,191.0,0.4992721979621543,165.4109375,0.5012318799433232,80
2.94,1.0,0.25,0.03,False,1060,183.0,0.2418986764034687,160.50062499999999,0.2804077047411063,80
2.94,1.0,0.25,0.03,True,3322,181.0,0.7581013235965313,163.11656250000001,0.7195922952588936,80
2.94,1.0,0.25,0.06,False,479,160.0,0.0992951907131011,144.6796875,0.1319160944072454,80
2.94,1.0,0.25,0.06,True,4345,172.0,0.9007048092868989,151.451875,0.8680839055927546,80
2.94,1.0,0.25,0.09,False,177,153.0,0.0329854640327991,129.3540625,0.057446775953562935,80
2.94,1.0,0.25,0.09,True,5189,148.0,0.9670145359672008,135.61281250000002,0.942553224046437,80
2.94,1.0,0.25,0.12,False,63,132.5,0.0114275349174678,113.0978125,0.02432952181569657,80
2.94,1.0,0.25,0.12,True,5450,129.0,0.9885724650825322,119.94625,0.9756704781843032,80
2.94,1.0,0.25,0.15,False,23,98.5,0.0040287265720791,101.09968749999999,0.01018526653690391,80
2.94,1.0,0.25,0.15,True,5686,110.0,0.9959712734279208,106.91281250000002,0.9898147334630961,80
2.94,1.0,0.5,0.0,False,1032,317.5,0.5007278020378457,278.9,0.4987681200566768,80
