seed,gain,hit_mode,g,g_lo,g_hi,B,v,a_bias,nll,r1_g,r1_g_se,model_hit_frac,net_hit_frac,acc_model,acc_net,prof_edge,prof_better,M,n_trials,minutes
42,0.8,none,4.531380141387881,4.066411675498138,5.008089854061805,3.980733227202928,63.454201892706834,1.5756800900269674,298.19046948299535,4.552404563292733,0.24408924568187565,0.008533333333333332,0.9275,0.874,0.859,False,-8.090716391961905e-06,300,2000,16.392961084842682
43,0.8,none,2.7435244904767058,2.3374308924138094,3.174447577526252,6.038090127802798,54.423127836496725,-1.427615424242193,278.7765127113361,2.7175136197138916,0.214312849796919,4.999999999999949e-06,0.934,0.9025,0.8805,False,-2.8151929427622235e-06,300,2000,15.308545931180317
44,0.8,none,2.85225247684388,2.3694225129922732,3.341376561979931,6.5404833583273305,44.858135757366426,-1.4567595113382965,344.13774773489575,2.888292194623296,0.250114452998862,0.0,0.7835,0.898,0.8705,False,0.0,300,2000,16.05588715871175
45,0.8,none,2.977427652749716,2.5632997365519232,3.4043162382597814,5.738385139959179,49.717468971084116,-0.43289394956074645,318.56913519217596,2.951513923185407,0.22263981305086208,0.0,0.9185,0.8885,0.873,False,0.0,300,2000,15.48604971965154
46,0.8,none,4.468133880567287,3.941417435240437,5.007781811231318,21.891440642419848,53.61716004657484,-5.400036952645129,350.7104400078897,4.458205560902983,0.2730082681856943,0.0,0.8605,0.8815,0.861,False,0.0,300,2000,16.286336227258047
47,0.8,none,3.025798914879932,2.5885315790706622,3.471401849955688,5.553985753359641,53.78893136212736,-0.15010933768520013,294.5139088316556,3.043563038556134,0.22663996290229382,8.333333333333303e-06,0.873,0.887,0.8815,False,-3.830024297712953e-07,300,2000,12.314041225115458
48,0.8,none,4.576049198251287,4.266188348496185,5.107863364195656,3.474791924590299,57.93173240387196,-2.5056515141099274,324.1520655057872,4.764280587865889,0.2741239178163253,0.0,0.84,0.8795,0.861,False,-1.168417118015384,300,2000,13.493938259283702
49,0.8,none,2.8170616219720106,2.418219207456654,3.22702860962005,5.497816559371341,57.89110918781789,0.3554631677270405,266.76011087802726,2.805129943615167,0.20696551614813588,0.00035666666666666664,0.9225,0.8865,0.876,False,0.0,300,2000,12.549359806378682
50,0.8,none,4.858427597345155,4.355241591917219,5.371208680088052,56.43227348721626,58.89916672734955,-5.082793436335717,328.97234275175697,4.754245793112315,0.26722589990502654,0.0,0.903,0.884,0.861,False,0.0,300,2000,11.355492305755615
51,0.8,none,3.155534357159448,2.5855002311097146,3.6284049478288427,29.083822025643297,52.79003528711999,-3.9145069012689113,305.65787363393076,3.1204726575797284,0.24368207625642532,0.0,0.8575,0.893,0.8735,False,0.0,300,2000,9.204045796394348
52,0.8,none,3.859389870107631,3.3371952612105615,4.416820325417261,4.983796962499502,46.96521959404211,3.235543607456294,373.1825207512927,3.8454500770461975,0.2763204650167255,6.666666666666654e-06,0.816,0.872,0.8435,False,-2.131923679371539e-06,300,2000,10.07092265288035
53,0.8,none,4.954556747334898,4.465875735241034,5.459588829980532,19.057837716296444,63.356436587969505,-6.504020846522183,307.04328706751346,4.9417063716923915,0.25803688631568084,0.0,0.8755,0.879,0.858,False,0.0,300,2000,9.821711917718252
54,0.8,none,6.042704851808004,5.508495834010339,6.550603638476962,429.5630914055068,67.5238123231727,-14.971479509364531,327.7766947937606,6.034096169294042,0.2795609252513051,0.0,0.852,0.8705,0.846,False,0.0,300,2000,11.116483716169993
55,0.8,none,4.381908501745466,3.9224909395777336,4.8585836768857,6.16357582640099,62.59687349670059,-0.2865073619003995,292.50950995211997,4.418714350859815,0.2417711047217544,0.0,0.865,0.8775,0.8675,False,0.0,300,2000,13.310013457139332
56,0.8,none,4.8886176310135605,4.4194437691479935,5.371433175329697,9.069406257146758,62.33276333284908,3.7707045283348446,311.88942939968535,4.854843524576434,0.25051066745646855,0.0,0.916,0.8675,0.8605,False,0.0,300,2000,10.94720458984375
57,0.8,none,3.883626485593833,3.419269895799277,4.362804269861814,6.637240941120092,51.96307266525464,-0.43920196867068356,333.4023908922261,3.8373635839314995,0.24288125183123668,0.0,0.9215,0.884,0.8715,False,0.0,300,2000,16.596580584843952
58,0.8,none,2.684362080862569,2.1527799996406562,3.210583185592072,7.639816630174114,37.05132491190921,-0.7316437158325935,424.36941139358356,2.505138119144469,0.2637508881732163,0.0,0.5005,0.9015,0.874,False,0.0,300,2000,15.928225290775298
59,0.8,none,4.580339312187807,4.104656202385456,5.07310560008416,9.603459347738225,63.69872951951037,-3.5377888128953865,299.0034591970852,4.584781061866709,0.2506892459927806,0.0,0.863,0.8855,0.8645,False,0.0,300,2000,15.39163691997528
60,0.8,none,4.439749630777467,3.964719398089298,4.928184413878767,45.194012269145574,59.328035117262594,-5.1006443717595085,317.4210490338252,4.42951368586437,0.250131709898164,0.0,0.8865,0.8845,0.8705,False,0.0,300,2000,23.582359381516774
61,0.8,none,3.7888762468180537,3.378096581616627,4.176377743658077,3.671429862735284,60.03814087704313,2.4355465440468342,288.46268617083655,3.7683376529888672,0.2392105290582117,0.06929,0.8405,0.8805,0.8645,False,0.0,300,2000,19.01284774939219
42,1.0,none,0.7378881391856857,0.4080472064656243,1.0848642223080813,6.460131892838754,53.75861400909699,-0.7078489624020168,247.08927968545424,0.7470955851801174,0.17682175357695598,0.02849166666666667,0.989,0.914,0.888,False,-6.29024157206004e-08,300,2000,16.499280015627544
43,1.0,none,-0.9894705284616947,-1.438419526617563,-0.657739691347841,7.704284320410737,40.31302365363675,-0.0966461542321046,329.2683038931329,-0.8938642395867179,0.21302544772652154,0.09682833333333332,0.992,0.9065,0.8855,False,-4.887595935088029e-06,300,2000,15.955575605233511
44,1.0,none,0.2639668224724356,-0.08338299747254671,0.5976097135711511,6.458862121362814,48.89324978451688,-0.3128682274572045,273.7191693480073,0.24456927092972913,0.1860277743509519,0.045191666666666665,0.9445,0.9145,0.897,False,0.0,300,2000,12.265227119127909
45,1.0,none,-0.49326019959779194,-1.0948563708264138,-0.23460133380229245,9.894871686652428,43.22483681197667,-0.1735286651568152,298.68977408520715,-0.5649018465022189,0.1939946998733354,0.0021499999999999996,0.986,0.9095,0.892,False,0.0,300,2000,15.39110422929128
