seed,gain,slope_net,slope_route1,acc_net,acc_route1,wnet0,wnet1,wnet2,wnet3,wnet4,wnet5,wnet6,wnet7,w1_0,w1_1,w1_2,w1_3,w1_4,w1_5,w1_6,w1_7
49,1.2,-0.03550302191526896,-0.04252326322263788,0.851,0.856,0.3591382435658953,0.18993479936798435,0.11501547306696748,0.08619660572857729,0.07939294163761772,0.053036169272179884,0.07343546711168093,0.04385030011935881,0.3348261232673444,0.23269806873075108,0.15089042787408108,0.09577696365592234,0.0902480068473269,0.05518061312721939,0.027340538826633003,0.013039257534228058
50,1.2,-0.022066456657766163,-0.02279152422384428,0.88,0.8785,0.2706087432181812,0.1460971150242675,0.10953521091138464,0.11254331833123439,0.10916360853325709,0.12275761370572084,0.08509190567294293,0.04420248449235721,0.2094858478574552,0.16367877375016773,0.17393463020090813,0.13740079430847427,0.12688317368565258,0.0815626679510336,0.04571925428804854,0.06133485784032972
51,1.2,-0.03383495323956071,-0.03917694327242416,0.8635,0.858,0.3491005959431568,0.18136161474089632,0.09493507259751809,0.12435512270472461,0.07073730479838276,0.06921796205005568,0.06645048323181175,0.04384184379616395,0.34493696029960935,0.20915189446003943,0.1443110388817726,0.10966667617643937,0.0595724274728457,0.04148759663018404,0.05404715328782484,0.03682625264758089
52,1.2,-0.02152735176447405,-0.02721700249442122,0.878,0.8735,0.23935754237151716,0.160080019471089,0.15536090030719132,0.09846812796051031,0.10131727797781895,0.09912361086107098,0.09528979122595473,0.051002729704503195,0.2360772349305462,0.19140326385750178,0.1661960849796146,0.1440775095743151,0.07145871020700538,0.08728180941471288,0.045923664018403636,0.057581722891420925
53,1.2,-0.01676113000285927,-0.018101759474484152,0.8845,0.88,0.20330243937052428,0.16754693387279315,0.14286479089515675,0.10670722223366416,0.09928272279693433,0.11045804494647232,0.11565167920293133,0.054186166569368886,0.18373929260362573,0.18196853125223117,0.1604275880529792,0.1265151076208448,0.10474927556003204,0.08734317547634873,0.08515511342585257,0.07010191589875815
54,1.2,-0.016266710373273936,-0.016096613105325744,0.8795,0.8785,0.22049822690094736,0.1405233645126439,0.1347084479543577,0.14379210999042388,0.09566495403164715,0.07687221916436135,0.10712407972838263,0.08081659760024174,0.19167950220055696,0.1680012904583781,0.14526144353027728,0.13330181573781646,0.09521569004270125,0.09417882068826389,0.0927742997572173,0.07958713746907069
55,1.2,-0.030150337392477286,-0.027894918571543033,0.8705,0.8715,0.30711756092912956,0.1746110649632389,0.1343097517580014,0.10281967590796864,0.0820078968915706,0.09210799360197704,0.0557577134855352,0.05126834234411461,0.25201098233390623,0.20737803506587627,0.14417247464458516,0.1195627973057467,0.07964238021966165,0.07880966126299499,0.06758146720511025,0.050842201837487666
56,1.2,-0.023021566015062105,-0.02476555166206241,0.851,0.851,0.2926593548047972,0.12938340959985423,0.12295526640968515,0.100655911348653,0.1137540380100769,0.0946893792956691,0.09394898085214108,0.051953659541078806,0.23084781711949906,0.180877353295749,0.1524822715491355,0.1327048425512151,0.11459416180308082,0.06529192499904704,0.07135726635497103,0.051844362189362746
57,1.2,-0.03131090739818102,-0.03297493752429533,0.8585,0.8565,0.30759456779096717,0.1734999736259727,0.1215580104894252,0.12253500634040757,0.09973006311307868,0.09250204184397828,0.03877194313177545,0.04380839353203132,0.2845190758375808,0.18866884247145874,0.15279084682157665,0.13630188101224444,0.07040111275838015,0.09714461718031064,0.046646459045890126,0.023527164732537378
58,1.2,-0.02465945519323324,-0.03243199816641416,0.866,0.8475,0.29513755086864835,0.17437266197333715,0.11009277775016901,0.10407335037423698,0.0728155105078517,0.0812529752433413,0.07578851738613972,0.08646665573882852,0.2977199430383298,0.20005514156760051,0.1420891570204356,0.12448717695727468,0.07151610473398916,0.05612375623261364,0.04258315216487019,0.06542556812713178
59,1.2,-0.026022020854387835,-0.030432410908201944,0.8725,0.8715,0.28743687589695455,0.15209968802969967,0.16485667593908362,0.09668568712531339,0.07064995622472924,0.07515667880136688,0.09497926150622332,0.05813517634874555,0.2548989317827222,0.1998339562337357,0.16382922099645925,0.12255487550802116,0.09135859253415796,0.0890899652521727,0.03324368268701105,0.04519077487577648
60,1.2,-0.018137955954441086,-0.024002952327078705,0.8815,0.8805,0.23401035041492665,0.1637213850140271,0.11788638582038459,0.12148909034679448,0.09231821400734992,0.08948019122425427,0.1100900716975271,0.07100431134882436,0.21040566840856298,0.18290572215825887,0.14358176089692098,0.14657126010369637,0.12439921705180827,0.0904770322237438,0.07950442497950647,0.022154914050072624
61,1.2,-0.009558233268307612,-0.014768453658543105,0.8675,0.8615,0.17485690942297327,0.16963524105349878,0.1146665903295024,0.12070460742086732,0.09727395641974668,0.09024299712704449,0.1311767397297437,0.10144295837860609,0.18914586579408685,0.15106483297902482,0.16078134495104643,0.1101455504237825,0.09510039301032183,0.130368634776193,0.09933761978028863,0.06405575816752676
