gain,variant,draw,g_nat,a_nat,v1_nat,slope_sim,acc_sim,frac_bounded
1.0,a_fitted_matched,draw14,9.9569345,0.3096427971311863,31.977903545198366,-0.060314545561282504,0.82,0.999
1.0,a_fitted_matched,draw15,9.739113,0.3441640858134038,27.475958577076252,-0.052791843329996785,0.82555,0.99265
1.0,a_fitted_matched,draw16,9.891392,0.3121694569816608,26.010736196903196,-0.059052823657934,0.79415,0.9982
1.0,a_fitted_matched,draw17,4.9565779999999995,0.360040237560726,27.85173835598938,-0.05609465279220027,0.814775,0.997325
1.0,a_fitted_matched,draw18,9.6505094,0.31100216542896286,26.471451591490787,-0.059288790247261795,0.803175,0.998375
1.0,a_fitted_matched,draw19,9.653894,0.31987121584577755,27.914051037283,-0.05888450696230256,0.814575,0.9975
1.0,b_leakonly_sigma1,draw0,9.806969,,29.189675898063005,0.06804941992573257,0.763575,0.0
1.0,b_leakonly_sigma1,draw1,9.9631846,,27.803001332690865,0.06700859446659192,0.76475,0.0
1.0,b_leakonly_sigma1,draw2,9.9812615,,26.678416339793486,0.06794918592060742,0.759525,0.0
1.0,b_leakonly_sigma1,draw3,9.91007,,26.851260112142967,0.06795244550556476,0.759675,0.0
