seed,gain,n,acc,slope,w0,w1,w2,w3,w4,w5,w6,w7
47,1.0,2000,0.879,-0.005219908856950363,0.1675332744841566,0.113011463375273,0.1424985427868008,0.11258402229809429,0.12414908480410895,0.10853479823575263,0.1160888160019914,0.11559999791697187
47,1.2,2000,0.8645,-0.03121665214228739,0.31532256750047594,0.18529454156047004,0.1318347128028658,0.0857587969872887,0.09375655260081613,0.07325788088777119,0.06207999614146396,0.052694951396853616
48,0.8,2000,0.854,0.043202055693205586,0.022010731630547585,0.055097928856223895,0.04028750568128965,0.05897032186267465,0.09927751639423824,0.1188379621682467,0.2280236765147788,0.37749435676541343
48,1.0,2000,0.8715,0.006750034464433226,0.11458185900280746,0.12698130464221405,0.10931502790070441,0.08913905659918618,0.11842463449418242,0.12589801994172362,0.14233640199338374,0.1733236953225915
48,1.2,2000,0.8595,-0.022370151817772816,0.25595311334736276,0.18983154094320956,0.1311786169705128,0.08223992086255026,0.09194598709827223,0.07664489854569381,0.09490481018188465,0.07730111194056874
49,0.8,2000,0.872,0.030059623309560617,0.044609584598271475,0.045291671767700104,0.09961322506265541,0.06494015496225808,0.1342627708588966,0.14347459350349373,0.20591445309944922,0.26189354604472764
49,1.0,2000,0.879,-0.009931938917649898,0.18818267151584656,0.1320759970833824,0.12855454797817772,0.10765216771262295,0.13056493210912995,0.10438968991072889,0.13355116419964258,0.07502882939326747
49,1.2,2000,0.847,-0.035503148577123694,0.359139987817165,0.18993809850696872,0.1150154322400739,0.08619237183301537,0.07939436823866779,0.05303109862202386,0.07343178353066857,0.04385685908168021
50,0.8,2000,0.851,0.04540021126042423,0.04123561459329344,0.005550248805030598,0.02583156350177342,0.07155561751465375,0.10268376830754096,0.1642100512740041,0.21938863659708016,0.36954449927983757
50,1.0,2000,0.879,0.00684907751658482,0.1145648247256579,0.11666441997155373,0.10527846018862654,0.10994745922268721,0.10197378445824512,0.14849082796882096,0.14131330392422115,0.16176691944760735
50,1.2,2000,0.868,-0.022066478748265443,0.2706072707092329,0.14610037482058125,0.1095321244061974,0.11254321636521013,0.10916743241587949,0.12275745347797047,0.08508827145632035,0.04420385623794963
51,0.8,2000,0.8545,0.03004818978609307,0.05675121155536465,0.05371824771120451,0.08775927847167854,0.09305157906045236,0.0718816371867,0.15237962642851965,0.18700118840665905,0.29745723106361815
51,1.0,2000,0.8615,-0.009806563542659252,0.17362310359321323,0.163380011180788,0.1175921361822147,0.11607392318144573,0.10717506030457961,0.12129028228482466,0.09987175708296613,0.10099372608960858
51,1.2,2000,0.8395,-0.03383418539788576,0.34909614280106377,0.1813587444371423,0.09493884192466807,0.12435486066380956,0.0707374226844052,0.06921683518367364,0.06645072930122915,0.043846422866713516
